Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Evdokimenko, Ekaterina",ENG 10 - Fundamentals/Engineering Appln (A),WI21,10,8,100.0%,100.0%,3.0,A- (3.75),
"Mancinelli, Ryan Mark",ENG 100D - Design for Development (A),WI21,43,12,83.3%,83.3%,9.0,A- (3.82),A- (3.90)
"Ngo, Anh-Thu T.",ENG 100D - Design for Development (B),WI21,31,13,75.0%,91.7%,6.17,B+ (3.58),B+ (3.37)
"Vargas Consuelos, Carlos Ingram",ENG 10 - Fundamentals/Engineering Appln (A),FA20,26,13,92.3%,91.7%,2.81,A- (3.91),A- (3.97)
"Mancinelli, Ryan Mark",ENG 100D - Design for Development (A),FA20,41,13,92.3%,92.3%,9.42,A- (3.77),B+ (3.65)
"Ngo, Anh-Thu T.",ENG 100D - Design for Development (B),FA20,14,9,100.0%,100.0%,5.5,A- (3.88),
"Goldberg, Charles G.",ENG 100L - Design for Development Lab (B),FA20,4,3,100.0%,100.0%,5.17,A (4.00),
"Schmid-Schoenbein, Geert W",ENG 100L - Design for Development Lab (I),FA20,4,3,100.0%,100.0%,3.83,A (4.00),
"Evdokimenko, Ekaterina",ENG 15 - Engineer Your Success (A),FA20,11,5,100.0%,100.0%,5.3,B+ (3.67),
"Evdokimenko, Ekaterina",ENG 20 - Intro to Engineering Research (A),FA20,24,14,92.9%,100.0%,4.36,A- (3.93),A- (3.87)
"Campbell, Jordan Alexander",ENG 10 - Fundamentals/Engineering Appln (A),SP20,8,6,100.0%,100.0%,2.83,A (4.00),
"Mancinelli, Ryan Mark",ENG 100D - Design for Development (A),SP20,54,23,91.3%,95.7%,8.59,A- (3.71),A- (3.83)
"Ngo, Anh-Thu T.",ENG 100D - Design for Development (B),SP20,40,12,100.0%,91.7%,5.83,A- (3.90),A- (3.71)
"Nguyen, Truong Quang",ENG 100L - Design for Development Lab (D),SP20,8,5,50.0%,75.0%,5.3,A (4.00),
"Bratton, Maryann",ENG 100L - Design for Development Lab (I),SP20,11,5,100.0%,100.0%,3.3,A (4.00),
"Evdokimenko, Ekaterina",ENG 15 - Engineer Your Success (A),SP20,7,5,100.0%,100.0%,3.3,A (4.00),
"Evdokimenko, Ekaterina",ENG 10 - Fundamentals/Engineering Appln (B),WI20,15,14,85.7%,100.0%,2.36,A (4.00),
"Williams, Ebonee P.",ENG 100B - Engineering Leadership (A),WI20,21,6,100.0%,100.0%,1.3,A (4.00),A (4.00)
"Mancinelli, Ryan Mark",ENG 100D - Design for Development (A),WI20,55,27,92.6%,96.3%,8.8,A- (3.70),A- (3.84)
"Ngo, Anh-Thu T.",ENG 100D - Design for Development (B),WI20,59,25,80.0%,76.0%,5.46,B+ (3.68),B+ (3.65)
"Stokes, Malcolm Dale",ENG 100L - Design for Development Lab (E),WI20,9,5,100.0%,100.0%,7.0,A (4.00),
"Ridley, Robyn Elizabeth",ENG 10 - Fundamentals/Engineering Appln (A),FA19,22,20,65.0%,90.0%,3.4,B+ (3.67),B+ (3.63)
"Campbell, Jordan Alexander",ENG 10 - Fundamentals/Engineering Appln (B),FA19,17,9,77.8%,88.9%,2.5,A- (3.71),
"Mancinelli, Ryan Mark",ENG 100D - Design for Development (A),FA19,58,22,90.9%,100.0%,7.14,A- (3.76),A- (3.83)
"Ngo, Anh-Thu T.",ENG 100D - Design for Development (B),FA19,39,22,54.5%,59.1%,6.23,B (3.27),B+ (3.39)
"Ngo, Anh-Thu T.",ENG 100D - Design for Development (D),FA19,18,9,100.0%,100.0%,4.28,A (4.00),
"Bratton, Maryann",ENG 100L - Design for Development Lab (G),FA19,7,3,100.0%,100.0%,5.5,A (4.00),
"Evdokimenko, Ekaterina",ENG 20 - Intro to Engineering Research (A),FA19,31,18,77.8%,88.9%,4.06,A- (3.83),A- (3.92)
"Bagheri, Mostafa",ENG 10 - Fundamentals/Engineering Appln (A),S219,25,23,26.1%,39.1%,3.63,A- (3.82),A (4.00)
"Bagheri, Mostafa",ENG 10 - Fundamentals/Engineering Appln (B),S219,22,19,47.4%,94.7%,3.97,A- (3.95),A (4.00)
"Yazdani, Arash",ENG 10 - Fundamentals/Engineering Appln (C),S219,27,25,36.0%,68.0%,2.18,A (4.00),A (4.00)
